step              M              B          Fed_R            M/B             rr
1            325.19          100.0           48.1           3.25          17.6%
2            298.52         178.25           48.1           1.67         14.73%
3            320.65         190.54          24.79           1.68         27.61%
4            307.13         146.43          42.78            2.1         41.46%
5            297.84         165.82          84.37            1.8          40.3%
6            290.98         166.65          87.21           1.75         40.25%
7            314.22         175.35          85.15           1.79         41.93%
8            314.22         184.13          93.93           1.71         41.37%
9            325.92         201.66          92.67           1.62         38.73%
10           345.02         200.77          84.02           1.72         45.46%
11           294.43         164.99         103.78           1.78         53.12%
12           305.77         205.86         123.88           1.49         48.32%
13           325.77         190.13         108.14           1.71         53.37%
14           338.71         222.64          130.1           1.52         47.64%
15           354.31         229.16         117.28           1.55          48.2%
16           347.05         224.92         116.84           1.54          40.7%
17           345.98         182.48          97.26            1.9         52.29%
18           433.29         265.49         136.35           1.63         43.53%
19           519.82         337.22         132.41           1.54         36.37%
20           628.27         367.13         114.56           1.71         43.91%
21           662.63         429.64         164.96           1.54          41.9%
22           668.58          426.8         166.74           1.57          49.1%
23           668.58         460.66          200.6           1.45         47.48%
24           616.39         363.22         193.99            1.7         54.91%
25           691.34         475.29         245.56           1.45         51.21%
26           692.56         460.76         236.37            1.5         55.03%
27           783.82         532.16         257.65           1.47         48.19%
28           811.47         529.38         245.43           1.53         52.61%
29            911.8         637.36         277.54           1.43         52.24%
30           950.53         694.71         288.37           1.37         47.77%
31           926.32         605.95         259.95           1.53         53.55%
32           956.32         656.76         310.75           1.46         50.18%
33           956.32         652.26         306.26           1.47         54.63%
34           956.32         679.41         333.41           1.41         45.81%
35          1073.29         638.63         279.59           1.68         53.75%
36          1192.37         823.28         383.92           1.45         44.72%
37          1309.38         836.65         336.73           1.57         47.47%
38           1341.6         930.58         384.25           1.44         43.22%
39          1418.55         973.75          343.7           1.46         52.93%
40          1418.55        1047.43         417.38           1.35         50.07%
41          1418.55        1024.84         394.79           1.38         58.93%
42          1543.36        1183.14         464.64            1.3          56.4%
43          1253.37         757.04         465.26           1.66         63.49%
44          1085.48         773.85         610.47            1.4         59.86%
45          1085.48         715.34         551.96           1.52         67.22%
46          1134.64         906.29         619.85           1.25          61.3%
47          1132.45         782.16         519.92           1.45         64.58%
48          1130.83         809.02         561.98            1.4         63.55%
49          1173.26         857.71         561.65           1.37         58.91%
50          1173.26         812.81         516.75           1.44         63.97%
51          1173.26         857.18         561.12           1.37         55.16%
52          1206.77         812.24         483.84           1.49         59.57%
53          1327.26         977.41         523.28           1.36         57.82%
54          1143.47         705.84         504.83           1.62          64.9%
55          1143.47          812.7          611.7           1.41         62.14%
56          1131.42         851.68         585.63           1.33         58.86%
57          1085.27         768.17         509.39           1.41         63.51%
58            940.7         725.55         524.91            1.3         60.55%
59            940.7         648.75         448.11           1.45         61.82%
60            940.7         658.12         457.48           1.43         50.08%
61            940.7         571.28         370.64           1.65         54.45%
62            954.1         657.31         402.95           1.45         43.68%
63          1027.35         630.29         305.64           1.63         44.66%
64          1184.95         793.63         313.85           1.49         44.28%
65          1149.72         679.24         312.27           1.69          50.7%
66           1352.4         909.99         396.88           1.49         43.57%
67          1397.76          942.5         365.71           1.48         35.75%
68          1405.47         795.17         293.53           1.77         47.83%
69          1803.14        1188.16         432.26           1.52         38.63%
70          2094.17        1264.47         404.57           1.66          46.5%
71          2229.96        1570.78         573.94           1.42         39.11%
72          2160.93        1239.64         482.22           1.74         48.49%
73          2190.93        1437.98         680.56           1.52         40.16%
74          2031.91        1419.89          575.7           1.43         36.94%
75          2423.13        1825.72         438.74           1.33         30.81%
76          2496.49        1573.71          319.2           1.59         43.03%
77          3105.59        2041.57         534.41           1.52         42.81%
78          2658.52        1308.15         684.31           2.03         46.31%
79          2588.14        1695.44         942.18           1.53         38.23%
80          2617.63        1575.06         701.53           1.66         50.04%
81           2804.0        1918.84         872.72           1.46         43.07%
82          2965.05        1721.58         757.05           1.72         51.35%
83          3306.57        2095.84        1027.21           1.58          44.3%
84          3306.57        2059.99         991.35           1.61         51.41%
85          3306.57        2219.23         1150.6           1.49         50.96%
86          3306.57        2209.16        1140.53            1.5         57.78%
87          3361.09        2413.52        1293.13           1.39         46.65%
88           3008.7        1780.85        1045.35           1.69         47.14%
89          3173.06        2020.96        1071.61           1.57         44.31%
90          2730.42        1919.28         985.27           1.42         37.04%
91          3005.88        2021.68         665.32           1.49         40.47%
92          2355.59        1466.14         667.55           1.61          43.8%
93          2528.97        1685.14         681.96            1.5         36.84%
94          2317.87         1326.9         562.06           1.75         37.96%
95          3006.27        2002.95         589.59            1.5         35.84%
96          3006.27        1984.27         570.91           1.52          40.9%
97          3006.27        2064.85         651.48           1.46         39.28%
98          3276.05        2029.65         625.75           1.61         50.47%
99          3480.31         2005.4         944.93           1.74         56.88%
100          3776.3        2632.02        1376.29           1.43         55.44%
