step              M              B          Fed_R            M/B             rr
1            659.05          100.0          32.26           6.59          5.45%
2            671.59         101.35          32.26           6.63          5.52%
3            671.59         102.36          33.26           6.56          5.19%
4             664.1         100.92          31.28           6.58          5.22%
5             664.1         100.65          31.01            6.6          5.35%
6             664.1         101.42          31.78           6.55          5.27%
7            655.04          94.01          31.34           6.97           5.6%
8            619.05          91.57          33.18           6.76          5.48%
9             626.1          83.28          30.71           7.52          5.74%
10           624.51           85.0          32.91           7.35          5.47%
11           624.51          83.38          31.29           7.49          5.63%
12           622.46          82.34          32.25           7.56          5.73%
13           622.46          82.86          32.77           7.51          5.32%
14           596.13          83.62          30.46           7.13           5.1%
15           585.22          81.84          27.71           7.15           5.2%
16           588.31          79.19          27.61           7.43          5.55%
17           561.83          77.62          29.79           7.24          5.17%
18           561.83          74.43           26.6           7.55          5.37%
19           561.83          75.42          27.58           7.45          4.85%
20           564.44          75.38          24.91           7.49          5.04%
21           546.32          75.25          25.89           7.26          4.98%
22           534.34          74.54          24.77           7.17          4.86%
23           526.35          73.24          23.56           7.19          5.25%
24           539.84          75.99          25.04            7.1          4.76%
25           539.84          74.22          23.27           7.27          4.92%
26           541.47          77.98          24.03           6.94          4.48%
27           538.65          74.53          21.83           7.23          4.92%
28           517.48           72.6          23.92           7.13          4.83%
29           517.01          70.81          22.64            7.3           5.3%
30           494.34          70.95          24.87           6.97          5.23%
31           483.84          67.07          23.46           7.21          5.62%
32           471.16          68.14          24.76           6.91          5.31%
33           475.67          66.82           22.7           7.12          5.77%
34           475.67          69.03          24.91           6.89           5.6%
35           473.26          67.74          24.18           6.99          6.03%
36           466.07           70.4          25.91           6.62          5.87%
37            439.9          69.69          24.73           6.31          5.53%
38           431.15          65.59          21.83           6.57          5.72%
39           419.93          65.05          22.15           6.46          5.59%
40            421.0           65.4          21.06           6.44           5.5%
41           414.66           65.5          20.71           6.33          5.15%
42           422.98          62.29          19.06           6.79           5.4%
43           441.88          65.58           20.5           6.74          5.27%
44           467.86           70.5          20.91           6.64           5.0%
45           474.23          68.89           20.9           6.88          5.35%
46           474.79          70.42          22.78           6.74          4.89%
47           458.85          71.63          20.87           6.41          4.42%
48           476.71           69.3          18.04           6.88          4.82%
49           476.71          71.76          20.49           6.64          4.74%
50           453.96          68.39          20.15           6.64          4.58%
51           458
