step              M              B          Fed_R            M/B             rr
1             550.0          100.0           50.0            5.0          10.0%
2             500.0          140.0           50.0           3.57          10.0%
3             504.0         221.48          38.75           2.28          10.0%
4            513.27         287.93          31.41           1.78          10.0%
5            570.65         373.12           20.3           1.53          10.0%
6            665.28         359.83          10.03           1.85          10.0%
7            775.98         293.11          34.99           2.65          10.0%
8            874.81         221.18           83.8           3.96          10.0%
9            970.74          74.91         128.73          12.96          10.0%
10          1059.62        -102.33         162.07         -10.35          10.0%
11          1146.56        -218.11         202.33          -5.26          10.0%
12          1238.96        -325.12         251.37          -3.81          10.0%
13          1331.35        -450.69          300.4          -2.95          10.0%
14          1421.89        -610.09          333.7          -2.33          10.0%
15          1510.62        -778.09          367.0          -1.94          10.0%
16          1598.49        -946.08         400.31          -1.69          10.0%
17          1686.36        -1099.1         448.58          -1.53          10.0%
18          1774.23       -1276.49         472.48          -1.39          10.0%
19           1862.1       -1480.12         470.14          -1.26          10.0%
20          1949.97       -1726.08         425.48          -1.13          10.0%
21          2037.84       -2010.32         342.53          -1.01          10.0%
22          2125.71       -2294.56         259.58          -0.93          10.0%
23          2213.59       -2577.87         177.57          -0.86          10.0%
24          2301.46        -2834.8         121.93          -0.81          10.0%
25          2419.33       -3102.71          55.32          -0.78          10.0%
26           2564.2       -3355.61           3.72          -0.76          10.0%
27          2736.07       -3593.51         -32.89          -0.76          10.0%
28          2934.94       -3816.41          -54.5          -0.77          10.0%
29          3130.81       -3965.33          -2.13          -0.79          10.0%
30          3326.68       -4050.93         113.57          -0.82          10.0%
31          3532.55       -4074.58         291.22          -0.87          10.0%
32          3767.42       -4069.42         497.67          -0.93          10.0%
33          4029.29       -4003.26         765.12          -1.01          10.0%
34          4318.16       -3925.09        1044.58           -1.1          10.0%
35          4634.03       -3846.92        1324.05           -1.2          10.0%
36           4986.9       -3662.68        1709.58          -1.36          10.0%
37          5395.77       -3478.44        2095.12          -1.55          10.0%
38          5858.64        -3143.9        2630.95          -1.86          10.0%
39          6375.51       -2634.33        3341.81          -2.42          10.0%
40          6916.39       -1927.46        4249.98          -3.59          10.0%
41          7514.26       -1603.09        4775.64          -4.69          10.0%
42          8166.13       -1278.72        5301.31          -6.39          10.0%
43           8872.0       -1219.35        5561.97          -7.28          10.0%
44          9631.87        -961.21         6021.4         -10.02          10.0%
45         10415.74        -703.07        6480.84         -14.81          10.0%
46         11226.61        -891.86        6493.34         -12.59          10.0%
47         12094.48       -1665.06        5921.44          -7.26          10.0%
48         13016.35        -2388.9        5398.89          -5.45          10.0%
49         13992.22       -3595.87        4393.22          -3.89          10.0%
50         15022.09       -5198.23        2992.15          -2.89          10.0%
51         16135.96       -7069.88        1321.79          -2.28          10.0%
52         17330.83       -8926.53        -333.57          -1.94          10.0%
53          18606.7      -10768.19       -1973.93          -1.73          10.0%
54         19963.57      -12594.84       -3599.28          -1.59          10.0%
55         21371.44      -14406.49       -5209.64          -1.48          10.0%
56         22833.32      -16203.14        -6805.0          -1.41          10.0%
57         24349.19       -17984.8       -8385.36          -1.35          10.0%
58         25919.06      -19751.45       -9950.72          -1.31          10.0%
59         27572.93       -21503.1      -11501.08          -1.28          10.0%
60          29307.8      -23239.76      -13036.44          -1.26          10.0%
61         31093.67      -24961.41       -14556.8          -1.25          10.0%
62         32933.54      -26668.06      -16062.16          -1.23          10.0%
63         34827.41       -28032.8       -17225.6          -1.24          10.0%
64         36775.28      -29382.54      -18374.05          -1.25          10.0%
65         38807.15      -29033.52      -17823.74          -1.34          10.0%
66         40920.02      -26082.99      -14671.91          -1.57          10.0%
67         43113.89      -19860.96       -8248.58          -2.17          10.0%
68         45358.76      -13623.92       -1810.25          -3.33          10.0%
69         47657.63       -7386.89        4628.07          -6.45          10.0%
70          50010.5       -1566.39       10649.87         -31.93          10.0%
71         52447.37       10259.41       22676.96           5.11          10.0%
72         54965.24       28319.81       40938.65           1.94          10.0%
73         57564.12       42695.73       55515.87           1.35          10.0%
74         60243.99       52075.22       65096.66           1.16          10.0%
75         63004.86       66693.93       79916.65           0.94          10.0%
76         65846.73       74120.13       87544.15           0.89          10.0%
77          68739.6       85178.89       98804.21           0.81          10.0%
78         71716.47       89847.58      103674.19            0.8          10.0%
79         74774.34       94516.26      108544.16           0.79          10.0%
80         77913.21       89415.96      103645.16           0.87          10.0%
81         81133.08       84315.67       98746.16           0.96          10.0%
82         84433.95       70328.22       84960.01            1.2          10.0%
83         87785.82       56340.78       71173.86           1.56          10.0%
84         91191.69       35947.68       50982.06           2.54          10.0%
85         94651.56       15554.59       30790.26           6.09          10.0%
86         98195.43       -7609.63        7827.33          -12.9          10.0%
87         101820.3      -30758.85      -15120.59          -3.31          10.0%
88        105526.17      -53893.06      -38053.52          -1.96          10.0%
89        109313.05      -77012.28      -60971.44          -1.42          10.0%
90        113180.92      -100116.5      -83874.36          -1.13          10.0%
91        117129.79     -123205.72     -106762.29          -0.95          10.0%
92        121159.66     -146279.93     -129635.21          -0.83          10.0%
93        125270.53     -169339.15     -152493.13          -0.74          10.0%
94         129462.4     -192383.37     -175336.06          -0.67          10.0%
95        133735.27     -215412.59     -198163.98          -0.62          10.0%
96        138089.14      -238426.8      -220976.9          -0.58          10.0%
97        142524.01     -261426.02     -243774.83          -0.55          10.0%
98        147039.88     -284410.24     -266557.75          -0.52          10.0%
99        151666.75     -307379.46     -289325.67          -0.49          10.0%
100       156401.62     -330333.67      -312078.6          -0.47          10.0%
