step              M              B          Fed_R            M/B             rr
1            659.05          100.0          32.26           6.59          5.45%
2            653.36          99.73          32.26           6.55          5.05%
3            686.54         100.46          31.19           6.83          5.18%
4            714.42         102.85          33.58           6.95          5.67%
5            722.25         105.67          38.48           6.83          5.39%
6            736.82          106.2          37.37           6.94          5.44%
7            750.31         107.25          38.37            7.0          5.82%
8             746.8         110.76          41.89           6.74          5.36%
9            762.28         108.94          38.55            7.0           5.4%
10           795.63         111.08          39.41           7.16          5.52%
11           807.93         115.37          42.14            7.0          5.34%
12           862.81          118.3          41.45           7.29          5.78%
13           876.82         126.44          47.79           6.93          5.32%
14           920.58         123.31          45.01           7.47          5.34%
15           963.98          125.1          47.37           7.71          5.87%
16           956.53         132.55          54.82           7.22          5.42%
17           960.76         128.33          50.59           7.49           5.6%
18            977.3          129.4          52.27           7.55          5.76%
19           974.74         131.96          54.83           7.39          5.72%
20           987.51         133.69          54.53           7.39          5.79%
21           1045.5         134.39          55.75           7.78          6.14%
22           1085.3         143.12          62.75           7.58          5.54%
23          1139.71          139.4           59.2           8.18          5.86%
24           1188.9         147.76          65.54           8.05          5.62%
25          1240.06         155.08          65.92            8.0          5.26%
26          1297.95         155.32          63.98           8.36          5.78%
27          1311.22         164.38           73.4           7.98          5.25%
28          1316.75         158.85          67.87           8.29          5.58%
29           1370.2         160.47          72.22           8.54          6.04%
30          1424.05         172.38           81.8           8.26           5.6%
31          1465.98         167.09          79.22           8.77          5.86%
32          1538.85         170.64           85.4           9.02          6.28%
33          1613.81          179.7          96.62           8.98           5.7%
34          1716.43         175.82          92.75           9.76          6.01%
35          1793.31         190.05         103.79           9.44           5.8%
36          1866.63         195.67         105.07           9.54          5.81%
37          1862.32         199.98         109.38           9.31          5.67%
38          1881.89          194.6         106.72           9.67          6.01%
39          1977.99         206.44         114.15           9.58          5.88%
40          1956.15         209.02          117.5           9.36           5.8%
41          2004.44         203.66         114.88           9.84          6.02%
42          2053.52          210.8         122.29           9.74           5.7%
43          2126.53         211.06         118.96          10.08          6.08%
44          2279.94         224.97         130.94          10.13          6.18%
45          2484.53         236.58         143.13           10.5          6.65%
46          2528.89         265.21         168.51           9.54          6.35%
47          2593.27         261.95         165.25            9.9          6.51%
48           2585.3         269.93         173.22           9.58          6.36%
49          2689.67          269.5         169.23           9.98          6.83%
50          2670.52         288.65         188.38           9.25           6.7%
51          2841.32          258.6           78.6           6.41          5.27%
52          1647.97         267.39          81.99           6.16           5.1%
53          1651.16         264.19          78.79           6.25          5.36%
54          1672.76         267.41          82.76           6.26          5.43%
55          1745.89         278.21          85.31           6.28          5.62%
56          1766.61         290.93          92.15           6.07          5.22%
57          1811.18         285.46          86.62           6.34          5.24%
58          1881.68         286.22          88.99           6.57          5.34%
59          1955.29         306.24          94.73           6.38          4.95%
60          1959.09         302.43          90.93           6.48          5.04%
61          1995.98         309.11          92.66           6.46          4.63%
62          2001.95         303.15          86.69            6.6          4.97%
63          2088.45         315.41          93.02           6.62          5.31%
64          2182.38         336.47         103.99           6.49          5.29%
65          2325.29         341.14         108.58           6.82          5.64%
66          2323.68         362.47         124.07           6.41          5.11%
67           2380.0         346.77         112.81           6.86          5.33%
68          2372.48         354.29         120.33            6.7          4.99%
69          2475.48         344.73         112.81           7.18          5.33%
70          2526.96         363.53         125.64           6.95          4.99%
71          2714.96         364.52         120.38           7.45          5.34%
72          2703.67         395.86         138.36           6.83          5.26%
73          2773.62         406.98         135.93           6.82          4.97%
74          2778.45         402.15          131.1           6.91          5.21%
75          2772.15         408.45          137.4           6.79          5.01%
76          2952.79          400.3         132.16           7.38          5.26%
77          3045.14         423.19         148.26            7.2          5.01%
78          3095.17         426.31         146.32           7.26          5.43%
79          3078.22         454.46          160.7           6.77          5.26%
80          3161.21         453.14          154.9           6.98           5.5%
81          3283.48         455.95         165.85            7.2          5.54%
82          3355.72          464.8         175.14           7.22          5.65%
83          3570.38         464.07         183.11           7.69          5.65%
84          3652.48         472.21          196.3           7.73          5.99%
85          3634.64         490.05         214.14           7.42          5.57%
86          3669.62         474.07         198.92           7.74          6.09%
87          3649.68         494.01         218.87           7.39          5.74%
88          3718.25         484.78         206.39           7.67          6.05%
89          3742.43         503.72         220.46           7.43          5.97%
90          3743.22         502.93         219.67           7.44           6.5%
91           3848.0         545.87         239.35           7.05          6.24%
92          3992.49         557.46         235.75           7.16           6.8%
93          3949.82         601.17         265.55           6.57          6.43%
94          3966.03         584.95         249.33           6.78          6.63%
95          3943.11         595.33         257.14           6.62           6.1%
96          3967.37          574.2         235.41           6.91          6.48%
97          3952.33         589.24         250.46           6.71          5.93%
98          4147.61         582.89         229.32           7.12          6.17%
99          4199.34         609.72         248.23           6.89          6.08%
100          4289.6         619.66         248.39           6.92          6.53%
